Player,normalized_line
jamarr chase,1317.17
justin jefferson,1250.5
puka nacua,1206.75
ceedee lamb,1169.929273819686
brian thomas,1150.5
malik nabers,1150.5
nico collins,1138.0
aj brown,1124.820726180314
drake london,1106.75
amon-ra st brown,1069.929273819686
ladd mcconkey,1038.2301630268946
brock bowers,1007.4216585995857
tee higgins,981.75
terry mclaurin,981.75
dj moore,981.5198369731054
tyreek hill,980.1561519872607
jaxon smith-njigba,963.6792738196859
davante adams,962.0938480127393
marvin harrison,957.4292738196859
mike evans,957.2104266062419
dk metcalf,950.9604266062419
garrett wilson,931.9801630268946
jaylen waddle,925.5
jerry jeudy,913.0
calvin ridley,906.75
george pickens,900.5
george kittle,900.5
zay flowers,900.5
trey mcbride,894.4801630268946
xavier worthy,894.4801630268946
jameson williams,876.1908914516431
courtland sutton,869.9292738196859
devonta smith,856.75
jauan jennings,850.5
chris olave,842.17
rome odunze,819.7104266062419
tetairoa mcmillan,806.9801630268946
jakobi meyers,800.0395733937581
khalil shakir,775.5
ricky pearsall,774.5493740359802
michael pittman,758.5209471985064
stefon diggs,750.9407164645083
keon coleman,750.5
jordan addison,737.5411375372942
chris godwin,736.620208885897
travis hunter,732.9461847596025
rashid shaheed,732.9217629374126
tj hockenson,716.8609471985063
matthew golden,708.5209471985064
travis kelce,706.9801630268946
darnell mooney,700.9588624627058
cooper kupp,687.3091085483569
josh downs,684.1390528014937
david njoku,682.9010063825401
jayden reed,676.1792738196859
sam laporta,675.5
deebo samuel,675.2698369731054
jack bech,647.8116858480707
jayden higgins,642.4790528014936
christian kirk,624.1660263899969
mark andrews,591.8609471985063
emeka egbuka,589.7821299668037
colston loveland,588.0
tucker kraft,584.1390528014937
dalton kincaid,582.9217629374126
dallas goedert,575.5
hollywood brown,575.5
cedric tillman,575.5
xavier legette,575.5
quentin johnston,575.5
evan engram,575.5
adam thielen,574.8807232510926
marquise brown,562.5251167446277
jonnu smith,550.5
wandale robinson,550.5
rashod bateman,550.0395733937581
kyle pitts,542.17
jake ferguson,542.17
marvin mims,534.1189784393986
michael wilson,525.5
josh palmer,525.5
kyle williams,525.5
demario douglas,525.5
tyler warren,525.1909471985064
luther burden,500.9588624627058
brenton strange,500.5
darius slayton,500.5
calvin austin,500.5
romeo doubs,500.5
zach ertz,500.5
chigoziem okonkwo,475.5
cade otton,475.5
tutu atwell,475.5
dalton schultz,450.5
mike gesicki,400.5
allan lazard,400.5
