Player,fd_line,fd_over_odds,fd_under_odds,cz_line,cz_over_odds,cz_under_odds,dk_line,dk_over_odds,dk_under_odds,b365_line,b365_over_odds,b365_under_odds
aj brown,1125.5,-114,-114,1125.5,-115.0,-115.0,1100.5,-110,-110,1150.5,100.0,-130.0
amon-ra st brown,1075.5,-114,-114,1050.5,-115.0,-115.0,1100.5,-110,-110,,,
brian thomas,1150.5,-114,-114,1150.5,-115.0,-115.0,1150.5,-110,-110,1150.5,-110.0,-110.0
brock bowers,1025.5,-114,-114,999.5,-120.0,-110.0,1000.5,-120,100,1000.5,-115.0,-105.0
calvin ridley,900.5,-114,-114,900.5,-115.0,-115.0,925.5,-110,-110,900.5,-110.0,-110.0
ceedee lamb,1175.5,-114,-114,1150.5,-115.0,-115.0,1200.5,-110,-110,1150.5,-130.0,100.0
cooper kupp,675.5,-114,-114,675.5,-110.0,-120.0,700.5,-105,-115,700.5,-105.0,-115.0
courtland sutton,900.5,-114,-114,850.5,-115.0,-115.0,875.5,-110,-110,850.5,-130.0,100.0
davante adams,950.5,-114,-114,950.5,-115.0,-115.0,950.5,-105,-115,1000.5,100.0,-130.0
deebo samuel,675.5,-114,-114,650.5,-115.0,-115.0,675.5,-110,-110,700.5,-105.0,-115.0
devonta smith,850.5,-114,-114,875.5,-115.0,-115.0,850.5,-110,-110,850.5,-110.0,-110.0
dj moore,975.5,-114,-114,975.5,-115.0,-115.0,975.5,-110,-110,1000.5,-105.0,-115.0
dk metcalf,925.5,-114,-114,975.5,-115.0,-115.0,950.5,-120,100,950.5,-110.0,-110.0
drake london,1125.5,-114,-114,1075.5,-115.0,-115.0,1125.5,-110,-110,1100.5,-110.0,-110.0
garrett wilson,950.5,-114,-114,925.5,-115.0,-115.0,925.5,-115,-105,925.5,-110.0,-110.0
george kittle,900.5,-114,-114,,,,900.5,-110,-110,900.5,-110.0,-110.0
george pickens,900.5,-114,-114,900.5,-115.0,-115.0,900.5,-110,-110,900.5,-110.0,-110.0
jakobi meyers,800.5,-114,-114,800.5,-115.0,-115.0,800.5,-105,-115,800.5,-105.0,-115.0
jamarr chase,1325.5,-114,-114,,,,1300.5,-110,-110,1325.5,-110.0,-110.0
jameson williams,875.5,-114,-114,875.5,-120.0,-110.0,875.5,-120,100,875.5,-110.0,-110.0
jaylen waddle,925.5,-114,-114,925.5,-115.0,-115.0,925.5,-110,-110,925.5,-110.0,-110.0
jaxon smith-njigba,975.5,-114,-114,975.5,-115.0,-115.0,975.5,-110,-110,925.5,-130.0,100.0
jayden reed,700.5,-114,-114,650.5,-115.0,-115.0,700.5,-110,-110,650.5,-130.0,100.0
jerry jeudy,900.5,-114,-114,900.5,-115.0,-115.0,925.5,-110,-110,925.5,-110.0,-110.0
khalil shakir,775.5,-114,-114,775.5,-115.0,-115.0,775.5,-110,-110,775.5,-110.0,-110.0
ladd mcconkey,1025.5,-114,-114,1050.5,-115.0,-115.0,1025.5,-120,100,1050.5,-105.0,-115.0
marvin harrison,975.5,-114,-114,950.5,-115.0,-115.0,975.5,-110,-110,925.5,-130.0,100.0
mike evans,925.5,-114,-114,1000.5,-115.0,-115.0,950.5,-120,100,950.5,-110.0,-110.0
nico collins,1150.5,-114,-114,1150.5,-115.0,-115.0,1125.5,-110,-110,1125.5,-110.0,-110.0
puka nacua,1225.5,-114,-114,1200.5,-115.0,-115.0,1200.5,-110,-110,1200.5,-110.0,-110.0
rashod bateman,525.5,-114,-114,550.5,-115.0,-115.0,575.5,100,-120,550.5,-110.0,-110.0
rome odunze,850.5,-114,-114,825.5,-115.0,-115.0,800.5,-120,100,800.5,-110.0,-110.0
sam laporta,675.5,-114,-114,675.5,-115.0,-115.0,675.5,-110,-110,675.5,-110.0,-110.0
stefon diggs,775.5,-114,-114,,,,725.5,-135,110,750.5,-105.0,-115.0
tee higgins,975.5,-114,-114,1000.5,-115.0,-115.0,975.5,-110,-110,975.5,-110.0,-110.0
terry mclaurin,975.5,-114,-114,975.5,-115.0,-115.0,1000.5,-105,-115,975.5,-115.0,-105.0
tetairoa mcmillan,825.5,-114,-114,,,,800.5,-115,-105,800.5,-110.0,-110.0
travis hunter,750.5,-114,-114,750.5,-115.0,-115.0,725.5,-135,110,700.5,-130.0,100.0
travis kelce,725.5,-114,-114,725.5,-115.0,-115.0,700.5,-115,-105,675.5,-110.0,-110.0
trey mcbride,900.5,-114,-114,900.5,-115.0,-115.0,900.5,-110,-110,875.5,-115.0,-105.0
tyreek hill,975.5,-114,-114,990.5,-115.0,-115.0,975.5,-115,-105,975.5,-130.0,100.0
xavier worthy,900.5,-114,-114,875.5,-115.0,-115.0,900.5,-115,-105,900.5,-110.0,-110.0
zay flowers,900.5,-114,-114,,,,900.5,-110,-110,900.5,-110.0,-110.0
